Team,Age,W,L,WL_percent,PW,PL,OPtg,DRtg,NRtg,Pace,FTr,3PAr,TS_percent,eFG_percent_offense,TOV_percent_offense,ORB_percent,FT/FGA_offense,eFG_percent_defense,TOV_percent_defense,DRB_percent,FT/FGA_defense,Year
Dallas Mavericks,29.6,1,4,0.2,1,4,108,118.2,-10.2,87,0.381,0.264,0.511,0.447,11.2,31.7,0.299,0.527,8.4,75.5,0.206,2008
Denver Nuggets,27.9,0,4,0,1,3,104.3,117.9,-13.6,97.4,0.328,0.203,0.501,0.452,12.5,34.6,0.243,0.536,10.7,74.1,0.24,2008
Atlanta Hawks,23.8,3,4,0.429,1,6,101.6,115.6,-14,85.8,0.441,0.174,0.512,0.439,15.7,30.5,0.345,0.503,10.4,67.3,0.206,2008
Cleveland Cavaliers,27.2,10,4,0.714,11,3,112.6,102.7,9.9,86.1,0.383,0.263,0.556,0.507,12.3,27.6,0.284,0.48,12.5,78.3,0.23,2009
Denver Nuggets,27.8,10,6,0.625,12,4,116.8,107.5,9.3,92.4,0.426,0.269,0.579,0.526,11.5,26.4,0.324,0.493,14.8,74.7,0.326,2009
Los Angeles Lakers,27.3,16,7,0.696,17,6,111.4,103.5,7.9,91.1,0.342,0.229,0.553,0.508,12.3,27.1,0.255,0.471,13.7,73.8,0.27,2009
Orlando Magic,27.3,13,11,0.542,14,10,107.3,105.3,2,89.2,0.36,0.309,0.555,0.513,13.1,21.6,0.26,0.488,12.7,77.2,0.232,2009
Miami Heat,25.6,3,4,0.429,4,3,106.7,105.6,1.1,82.6,0.324,0.287,0.554,0.501,14.4,25.2,0.265,0.464,12.5,73.1,0.261,2009
Boston Celtics,27.4,7,7,0.5,7,7,106.3,106.3,0,91.4,0.309,0.222,0.535,0.485,12.5,25.1,0.245,0.493,13.3,77.8,0.265,2009
Dallas Mavericks,29.1,5,5,0.5,5,5,113,114,-1,89.9,0.375,0.272,0.576,0.518,12.8,24.7,0.305,0.525,11,77.4,0.271,2009
